filename,id,language,date,author,title,gender,person,length
DE_1800_Novalis_HeinrichvonOfterdingen_Novel.txt,34,German,1800,Novalis,HeinrichvonOfterdingen,male,first,45928
"DE_1801_Fischer,Caroline Auguste_VierzehnTageinParis_Novel.txt",35,German,1801,"Fischer,Caroline Auguste",VierzehnTageinParis,female,first,13485
"DE_1801_Fischer,CarolineAuguste_GustavsVerirrungen_Novel.txt",36,German,1801,"Fischer,CarolineAuguste",GustavsVerirrungen,female,first,19845
"DE_1801_Schlegel,Dorothea_Florentin_Novel.txt",37,German,1801,"Schlegel,Dorothea",Florentin,female,third,56847
"DE_1802_Arnim,Achimvon_HollinsLiebeleben_Novel.txt",38,German,1802,"Arnim,Achimvon",HollinsLiebeleben,male,third,26018
"DE_1802_Brentano,Clemens_Godwi_Novel.txt",39,German,1802,"Brentano,Clemens",Godwi,male,third,136736
"DE_1802_Fischer,CarolineAuguste_DieHonigmonathe_Novel.txt",40,German,1802,"Fischer,CarolineAuguste",DieHonigmonathe,female,third,33921
"DE_1803_Mereau,Sophie_AmandaundEduard_Novel.txt",41,German,1803,"Mereau,Sophie",AmandaundEduard,female,third,50624
"DE_1803_Paul,Jean_Titan_Novel.txt",42,German,1803,"Paul,Jean",Titan,male,first,263907
"DE_1804_Unger,FriederikeHelene_AlbertundAlbertine_Novel.txt",43,German,1804,"Unger,FriederikeHelene",AlbertundAlbertine,female,third,44727
"DE_1805_Klingemann,August_DieNachtwachendesBonaventura_Novel.txt",44,German,1805,"Klingemann,August",DieNachtwachendesBonaventura,male,first,38708
"DE_1805_Paul,Jean_Flegeljahre_Novel.txt",45,German,1805,"Paul,Jean",Flegeljahre,male,third,156984
